GEOID,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
6023001000,80.62297735,809,1.393203883,1.831468337,22853,2.04
6073001000,73.54618016,1216,1.61345496,12.31030742,66329,2
6029001000,24.60923301,1003,1.907669938,0.238698314,62694,3.6
6083001000,90.92520383,1218,1.204182914,9.075017501,45074,1.89
6031001001,33.24624428,854,1.845199216,0.904956247,59938,2.57
6099001001,53.77942999,922,1.471705907,3.813010618,44677,2.2
6111001001,32.03505355,1349,2.137293087,0.093333058,63438,2.63
6071001001,56.16781465,1205,1.773951158,4.471170291,40256,3.42
6031001002,67.96187683,839,1.434750733,1.716361759,36839,3.33
6099001002,61.07431935,858,1.63870493,2.817961774,43813,2.28
6111001002,32.14718965,1217,1.97573797,1.210158109,66725,2.57
6047001002,51.84077312,1286,2.007823286,1.021106807,65748,3.42
6071001002,60.93853272,1048,1.96827495,5.089030957,41314,3.91
